Step,Epsilon,Reward,NN_Loss
1,1.0,-0.0,0.0
2,0.9998100189987335,-46.0,0.0
3,0.9996200759898677,-13.0,0.0
4,0.9994301709658051,-6.0,0.0
5,0.9992403039189496,-21.0,0.0
6,0.9990504748417063,-29.0,0.0
7,0.9988606837264821,-82.0,0.0
8,0.9986709305656853,-153.0,0.0
9,0.9984812153517261,-16.0,0.0
10,0.9982915380770154,-17.0,0.0
11,0.9981018987339664,-12.0,0.0
12,0.9979122973149935,-4.0,0.0
13,0.9977227338125126,-21.0,0.0
14,0.9975332082189413,-111.0,0.0
15,0.9973437205266983,-235.0,0.0
16,0.9971542707282044,-398.0,0.0
17,0.9969648588158813,-626.0,0.0
18,0.9967754847821527,-42.0,0.0
19,0.9965861486194436,-72.0,0.0
20,0.9963968503201808,-232.0,0.0
21,0.9962075898767919,-4.0,0.0
22,0.9960183672817068,-41.0,0.0
23,0.9958291825273565,-21.0,0.0
24,0.9956400356061736,-31.0,0.0
25,0.9954509265105923,-16.0,0.0
26,0.9952618552330482,-30.0,0.0
27,0.9950728217659784,-97.0,0.0
28,0.9948838261018216,-20.0,0.0
29,0.994694868233018,-54.0,0.0
30,0.9945059481520092,-23.0,0.0
31,0.9943170658512385,-40.0,0.0
32,0.9941282213231506,-21.0,78.05903625488281
33,0.9939394145601915,-87.0,79.75373840332031
34,0.9937506455548093,-18.0,80.24075317382812
35,0.993561914299453,-16.0,71.46778106689453
36,0.9933732207865733,-20.0,77.4124526977539
37,0.9931845650086227,-25.0,60.66527557373047
38,0.9929959469580548,-26.0,76.43633270263672
39,0.9928073666273248,-84.0,75.005615234375
40,0.9926188240088897,-176.0,83.62956237792969
41,0.9924303190952076,-12.0,69.38693237304688
42,0.9922418518787385,-65.0,75.60171508789062
43,0.9920534223519435,-11.0,61.94218444824219
44,0.9918650305072855,-14.0,77.60536193847656
45,0.9916766763372289,-74.0,70.47726440429688
46,0.9914883598342394,-190.0,57.35557174682617
47,0.9913000809907846,-0.0,53.9337158203125
48,0.991111839799333,-48.0,40.03655242919922
49,0.9909236362523552,-23.0,60.551544189453125
50,0.9907354703423229,-8.0,68.44029235839844
51,0.9905473420617097,-73.0,65.55951690673828
52,0.9903592514029902,-184.0,52.03651809692383
53,0.9901711983586408,-325.0,85.0224838256836
54,0.9899831829211395,-531.0,58.47077178955078
55,0.9897952050829658,-773.0,105.59156799316406
56,0.9896072648366003,-44.0,87.94196319580078
57,0.9894193621745254,-106.0,84.03654479980469
58,0.9892314970892253,-316.0,94.26837921142578
59,0.9890436695731851,-564.0,122.11985778808594
60,0.9888558796188919,-870.0,106.59986877441406
61,0.988668127218834,-1215.0,104.51844787597656
62,0.9884804123655013,-18.0,66.95117950439453
63,0.9882927350513852,-58.0,89.39051055908203
64,0.9881050952689786,-184.0,68.51042938232422
65,0.987917493010776,-41.0,96.90664672851562
66,0.9877299282692732,-6.0,97.9154052734375
67,0.9875424010369677,-29.0,107.18907165527344
68,0.9873549113063583,-12.0,109.59307861328125
69,0.9871674590699455,-27.0,132.96218872070312
70,0.9869800443202312,-21.0,104.09002685546875
71,0.9867926670497188,-96.0,103.14891052246094
72,0.9866053272509132,-186.0,68.07901763916016
73,0.9864180249163208,-9.0,100.9879150390625
74,0.9862307600384496,-43.0,47.256839752197266
75,0.9860435326098088,-126.0,68.75326538085938
76,0.9858563426229096,-16.0,80.79472351074219
77,0.9856691900702641,-20.0,75.79277801513672
78,0.9854820749443863,-6.0,103.78680419921875
79,0.9852949972377917,-13.0,50.236568450927734
80,0.985107956942997,-45.0,81.52494812011719
81,0.9849209540525209,-17.0,71.55337524414062
82,0.9847339885588829,-64.0,76.65514373779297
83,0.9845470604546047,-172.0,73.34226989746094
84,0.9843601697322091,-2.0,58.266605377197266
85,0.9841733163842201,-53.0,78.81710815429688
86,0.9839865004031642,-7.0,49.704750061035156
87,0.9837997217815683,-8.0,57.87734603881836
88,0.9836129805119613,-14.0,76.97338104248047
89,0.9834262765868739,-15.0,50.704925537109375
90,0.9832396099988375,-11.0,43.06474304199219
91,0.9830529807403857,-2.0,37.16741943359375
92,0.9828663888040532,-10.0,42.82240676879883
93,0.9826798341823764,-55.0,29.087547302246094
94,0.9824933168678931,-7.0,32.04936218261719
95,0.9823068368531427,-28.0,43.36494064331055
96,0.9821203941306657,-76.0,30.765548706054688
97,0.9819339886930046,-183.0,37.765419006347656
98,0.9817476205327034,-16.0,38.71046829223633
99,0.9815612896423069,-22.0,32.1046142578125
100,0.9813749960143622,-7.0,27.822444915771484
101,0.9811887396414175,-20.0,23.13136100769043
102,0.9810025205160225,-16.0,32.434906005859375
103,0.9808163386307285,-36.0,34.40789794921875
104,0.980630193978088,-106.0,51.934940338134766
105,0.9804440865506555,-196.0,37.22718048095703
106,0.9802580163409866,-25.0,37.32197952270508
107,0.9800719833416385,-39.0,37.18364334106445
108,0.9798859875451698,-117.0,33.49696731567383
109,0.9797000289441407,-210.0,21.571046829223633
110,0.9795141075311129,-12.0,34.92708969116211
