Step,Epsilon,Reward,NN_Loss
68,0.9873549113063583,-0.0,23.859642028808594
69,0.9871674590699455,-0.0,15.442813873291016
70,0.9869800443202312,-9.0,21.603092193603516
71,0.9867926670497188,-9.0,25.426673889160156
72,0.9866053272509132,-33.0,30.15094566345215
73,0.9864180249163208,-0.0,18.155040740966797
74,0.9862307600384496,-18.0,19.563247680664062
75,0.9860435326098088,-58.0,18.359771728515625
76,0.9858563426229096,-103.0,27.059600830078125
77,0.9856691900702641,-6.0,20.055187225341797
78,0.9854820749443863,-0.0,21.502222061157227
79,0.9852949972377917,-0.0,22.43596076965332
80,0.985107956942997,-0.0,23.01493263244629
81,0.9849209540525209,-14.0,13.23131275177002
82,0.9847339885588829,-34.0,12.062440872192383
83,0.9845470604546047,-0.0,13.535842895507812
84,0.9843601697322091,-16.0,21.889055252075195
85,0.9841733163842201,-34.0,13.355311393737793
86,0.9839865004031642,-0.0,11.843559265136719
87,0.9837997217815683,-0.0,12.925888061523438
88,0.9836129805119613,-0.0,11.92407512664795
89,0.9834262765868739,-0.0,8.394486427307129
90,0.9832396099988375,-4.0,12.101339340209961
91,0.9830529807403857,-0.0,8.670633316040039
92,0.9828663888040532,-20.0,8.040132522583008
93,0.9826798341823764,-0.0,9.841306686401367
94,0.9824933168678931,-4.0,5.716156005859375
95,0.9823068368531427,-24.0,9.071476936340332
96,0.9821203941306657,-2.0,9.339792251586914
97,0.9819339886930046,-18.0,9.93530559539795
98,0.9817476205327034,-0.0,9.00197696685791
99,0.9815612896423069,-14.0,8.026628494262695
100,0.9813749960143622,-34.0,7.900429725646973
101,0.9811887396414175,-54.0,7.710202217102051
102,0.9810025205160225,-12.0,6.586915969848633
103,0.9808163386307285,-32.0,7.077442169189453
104,0.980630193978088,-0.0,6.922453880310059
105,0.9804440865506555,-0.0,5.785072326660156
106,0.9802580163409866,-0.0,5.878171443939209
107,0.9800719833416385,-0.0,8.226934432983398
108,0.9798859875451698,-4.0,5.107698917388916
109,0.9797000289441407,-0.0,5.519655704498291
110,0.9795141075311129,-38.0,7.106681823730469
111,0.9793282232986495,-98.0,5.457215785980225
112,0.9791423762393152,-0.0,6.59739875793457
113,0.9789565663456761,-7.0,3.9046664237976074
114,0.9787707936102998,-0.0,6.073912620544434
115,0.9785850580257552,-0.0,4.996298313140869
116,0.9783993595846132,-0.0,5.075459003448486
117,0.9782136982794457,-2.0,4.9558258056640625
118,0.9780280741028262,-0.0,4.765750885009766
119,0.9778424870473299,-0.0,5.064244270324707
120,0.977656937105533,-4.0,4.1902923583984375
121,0.9774714242700139,-23.0,6.481194019317627
122,0.9772859485333517,-13.0,5.325425148010254
123,0.9771005098881277,-0.0,4.581962585449219
124,0.9769151083269243,-0.0,4.82992696762085
125,0.9767297438423252,-8.0,5.815458297729492
126,0.976544416426916,-4.0,4.414413928985596
127,0.9763591260732837,-0.0,4.131290435791016
128,0.9761738727740165,-0.0,4.279591083526611
129,0.9759886565217042,-0.0,5.385021209716797
130,0.9758034773089385,-2.0,4.972474575042725
131,0.9756183351283119,-0.0,4.472167491912842
132,0.9754332299724188,-35.0,4.2467570304870605
133,0.9752481618338551,-63.0,2.821237325668335
134,0.9750631307052179,-93.0,5.623111248016357
135,0.9748781365791062,-2.0,4.894190788269043
136,0.97469317944812,-0.0,5.329224586486816
137,0.9745082593048611,-0.0,4.788174152374268
138,0.9743233761419327,-2.0,3.5744545459747314
139,0.9741385299519394,-0.0,5.556623935699463
140,0.9739537207274875,-0.0,4.153284549713135
141,0.9737689484611846,-0.0,4.547018051147461
142,0.9735842131456396,-10.0,3.603447914123535
143,0.9733995147734634,-10.0,5.383124828338623
144,0.9732148533372679,-34.0,4.019333362579346
145,0.9730302288296666,-0.0,3.832294464111328
146,0.9728456412432746,-43.0,4.159244537353516
147,0.9726610905707084,-103.0,3.726431369781494
148,0.9724765768045859,-8.0,5.038848400115967
149,0.9722920999375266,-28.0,6.093253135681152
150,0.9721076599621514,-0.0,4.034882545471191
151,0.9719232568710827,-0.0,5.443787097930908
152,0.9717388906569445,-0.0,4.760698318481445
153,0.971554561312362,-2.0,3.704237937927246
154,0.971370268829962,-23.0,4.219017505645752
155,0.9711860132023731,-43.0,4.362057685852051
156,0.9710017944222247,-2.0,4.5043416023254395
157,0.9708176124821482,-22.0,5.711233139038086
158,0.9706334673747763,-12.0,4.406726837158203
159,0.9704493590927433,-0.0,4.748140335083008
160,0.9702652876286846,-18.0,4.902359962463379
161,0.9700812529752377,-79.0,3.78913950920105
162,0.969897255125041,-143.0,2.4961435794830322
163,0.9697132940707346,-199.0,4.879790306091309
164,0.9695293698049602,-278.0,4.574642181396484
165,0.9693454823203606,-0.0,5.853690147399902
166,0.9691616316095805,-0.0,5.649113655090332
167,0.9689778176652657,-6.0,5.319364070892334
168,0.9687940404800637,-28.0,6.900667190551758
169,0.9686103000466234,-13.0,4.838587760925293
170,0.9684265963575954,-64.0,4.532792091369629
171,0.9682429294056313,-124.0,3.2174606323242188
172,0.9680592991833845,-203.0,5.331808567047119
173,0.9678757056835098,-283.0,4.992485046386719
174,0.9676921488986634,-2.0,5.125533580780029
175,0.9675086288215032,-54.0,6.172103404998779
176,0.9673251454446882,-0.0,8.301528930664062
177,0.9671416987608791,-21.0,4.968990325927734
178,0.966958288762738,-9.0,5.924254417419434
179,0.9667749154429288,-29.0,3.7862651348114014
180,0.9665915787941163,-4.0,6.086209297180176
181,0.966408278808967,-0.0,6.818270206451416
182,0.9662250154801488,-19.0,4.911252021789551
183,0.9660417888003315,-0.0,6.694194793701172
184,0.9658585987621859,-0.0,4.309542655944824
185,0.9656754453583843,-0.0,4.609105587005615
186,0.9654923285816008,-0.0,5.854359149932861
187,0.9653092484245105,-0.0,5.922163963317871
188,0.9651262048797902,-0.0,5.890763282775879
189,0.9649431979401182,-5.0,5.508772373199463
190,0.9647602275981743,-0.0,4.986795902252197
191,0.9645772938466396,-0.0,4.65695858001709
192,0.9643943966781968,-12.0,4.786715507507324
193,0.9642115360855299,-30.0,3.0830395221710205
194,0.9640287120613247,-0.0,5.705231189727783
195,0.9638459245982679,-0.0,6.160394191741943
196,0.9636631736890484,-8.0,3.3279805183410645
197,0.963480459326356,-5.0,6.971782207489014
198,0.9632977815028819,-29.0,6.04540491104126
199,0.9631151402113193,-0.0,4.478573799133301
200,0.9629325354443624,-0.0,5.723066806793213
201,0.9627499671947071,-0.0,2.6092519760131836
202,0.9625674354550505,-6.0,4.772763252258301
203,0.9623849402180915,-24.0,5.434590816497803
204,0.9622024814765302,-46.0,5.752645492553711
205,0.9620200592230683,-0.0,4.299045085906982
206,0.9618376734504089,-13.0,5.23225212097168
207,0.9616553241512567,-7.0,3.1026597023010254
208,0.9614730113183174,-17.0,3.9748001098632812
209,0.9612907349442987,-27.0,6.0582275390625
210,0.9611084950219095,-13.0,4.395808219909668
211,0.9609262915438603,-33.0,4.01910400390625
212,0.960744124502863,-0.0,6.452663421630859
213,0.9605619938916306,-0.0,5.04582405090332
214,0.9603798997028781,-0.0,3.060575246810913
215,0.9601978419293217,-0.0,5.930521488189697
216,0.9600158205636791,-4.0,4.3676276206970215
217,0.9598338355986695,-0.0,2.7142276763916016
218,0.9596518870270134,-22.0,4.070496082305908
219,0.9594699748414329,-62.0,5.2537407875061035
220,0.9592880990346516,-8.0,3.8378095626831055
221,0.9591062595993943,-28.0,7.18780517578125
222,0.9589244565283876,-0.0,5.224891185760498
223,0.9587426898143592,-6.0,3.6113264560699463
224,0.9585609594500385,-0.0,4.1416730880737305
225,0.9583792654281564,-16.0,5.1506147384643555
226,0.9581976077414449,-0.0,2.871088981628418
227,0.958015986382638,-0.0,4.276698589324951
