Step,Epsilon,Reward,NN_Loss
10,1.0,-0.0,0.0
20,0.9990504748417063,-41.0,0.0
30,0.9981018987339664,-133.0,0.0
40,0.9971542707282044,-263.0,0.0
50,0.9962075898767919,-444.0,0.0
60,0.9952618552330482,-17.0,0.0
70,0.9943170658512385,-40.0,0.0
80,0.9933732207865733,-94.0,0.0
90,0.9924303190952076,-9.0,0.0
100,0.9914883598342394,-44.0,0.0
110,0.9905473420617097,-140.0,0.0
120,0.9896072648366003,-279.0,0.0
130,0.988668127218834,-457.0,0.0
140,0.9877299282692732,-13.0,0.0
150,0.9867926670497188,-70.0,0.0
160,0.9858563426229096,-57.0,0.0
170,0.9849209540525209,-188.0,0.0
180,0.9839865004031642,-20.0,0.0
190,0.9830529807403857,-70.0,0.0
200,0.9821203941306657,-32.0,0.0
210,0.9811887396414175,-6.0,0.0
220,0.9802580163409866,-36.0,0.0
230,0.9793282232986495,-77.0,0.0
240,0.9783993595846132,-185.0,0.0
250,0.9774714242700139,-26.0,0.0
260,0.976544416426916,-25.0,0.0
270,0.9756183351283119,-10.0,0.0
280,0.97469317944812,-69.0,0.0
290,0.9737689484611846,-0.0,0.0
300,0.9728456412432746,-22.0,0.0
310,0.9719232568710827,-36.0,0.0
320,0.9710017944222247,-9.0,89.81517791748047
330,0.9700812529752377,-39.0,90.35560607910156
340,0.9691616316095805,-99.0,78.76731872558594
350,0.9682429294056313,-12.0,89.67620849609375
360,0.9673251454446882,-19.0,87.00114440917969
370,0.966408278808967,-51.0,92.46800994873047
380,0.9654923285816008,-136.0,90.55979919433594
390,0.9645772938466396,-16.0,84.81383514404297
400,0.9636631736890484,-8.0,65.46630096435547
410,0.9627499671947071,-31.0,73.15520477294922
420,0.9618376734504089,-116.0,75.92632293701172
430,0.9609262915438603,-12.0,76.75765991210938
440,0.9600158205636791,-14.0,77.3797836303711
450,0.9591062595993943,-65.0,57.723907470703125
460,0.9581976077414449,-162.0,75.65184783935547
470,0.957289864081179,-20.0,83.02722930908203
480,0.9563830277108525,-89.0,85.02362823486328
490,0.9554770977236295,-207.0,86.66060638427734
500,0.9545720732135796,-12.0,57.33796691894531
510,0.9536679532756783,-56.0,92.95477294921875
520,0.9527647370058057,-16.0,89.7987289428711
530,0.951862423500745,-82.0,62.95223617553711
540,0.9509610118581833,-19.0,81.80461883544922
550,0.9500605011767084,-81.0,80.7510757446289
560,0.9491608905558097,-177.0,87.43940734863281
570,0.9482621790958765,-340.0,60.08740997314453
580,0.9473643658981972,-19.0,77.04600524902344
590,0.9464674500649586,-37.0,84.79898071289062
600,0.9455714306992448,-42.0,74.20946502685547
610,0.9446763069050362,-86.0,55.652137756347656
620,0.9437820777872092,-157.0,68.82008361816406
630,0.9428887424515344,-272.0,85.0827407836914
640,0.9419963000046766,-425.0,91.2183837890625
650,0.941104749554193,-22.0,71.39197540283203
660,0.9402140902085333,-49.0,74.39768981933594
670,0.9393243210770379,-8.0,87.12208557128906
680,0.9384354412699377,-53.0,84.51551818847656
690,0.9375474498983528,-166.0,96.97581481933594
700,0.9366603460742918,-303.0,71.69306182861328
710,0.9357741289106508,-504.0,86.09912109375
720,0.9348887975212126,-757.0,84.58853149414062
730,0.9340043510206455,-47.0,63.561058044433594
740,0.9331207885245031,-91.0,92.95757293701172
750,0.9322381091492229,-194.0,89.1214370727539
760,0.9313563120121252,-314.0,112.17503356933594
770,0.9304753962314132,-459.0,101.8821029663086
780,0.9295953609261706,-13.0,100.10295104980469
790,0.9287162052163623,-61.0,109.66761016845703
800,0.9278379282228324,-44.0,73.98833465576172
810,0.926960529067304,-24.0,130.64303588867188
820,0.9260840068723777,-6.0,112.31864166259766
830,0.9252083607615312,-0.0,99.21659088134766
840,0.9243335898591184,-12.0,86.89138793945312
850,0.9234596932903685,-19.0,74.35308837890625
860,0.9225866701813845,-66.0,87.21770477294922
870,0.9217145196591435,-136.0,85.89958953857422
880,0.9208432408514946,-229.0,115.4290771484375
890,0.9199728328871594,-385.0,93.6466064453125
900,0.9191032948957294,-566.0,112.91280364990234
910,0.9182346260076668,-765.0,88.24470520019531
920,0.9173668253543025,-12.0,111.13874816894531
930,0.9164998920678359,-58.0,84.91879272460938
940,0.9156338252813335,-23.0,113.8543472290039
950,0.9147686241287286,-28.0,102.35449981689453
960,0.9139042877448198,-8.0,96.30178833007812
970,0.9130408152652709,-36.0,101.88365173339844
980,0.912178205826609,-91.0,94.41392517089844
990,0.9113164585662249,-7.0,95.5775146484375
1000,0.9104555726223711,-0.0,109.51935577392578
1010,0.9095955471341616,-20.0,107.75794219970703
1020,0.908736381241571,-63.0,63.04460144042969
1030,0.907878074085433,-40.0,61.32490921020508
1040,0.9070206248074407,-116.0,80.0048828125
1050,0.9061640325501445,-9.0,77.6055679321289
1060,0.9053082964569523,-29.0,73.34890747070312
1070,0.9044534156721279,-12.0,48.36262512207031
1080,0.9035993893407902,-21.0,90.09265899658203
1090,0.9027462166089132,-9.0,63.92870330810547
1100,0.9018938966233236,-12.0,46.39058303833008
1110,0.9010424285317018,-0.0,71.38199615478516
1120,0.9001918114825794,-23.0,59.898189544677734
1130,0.8993420446253394,-73.0,68.525634765625
1140,0.8984931271102148,-8.0,45.42597579956055
1150,0.8976450580882879,-13.0,52.157875061035156
1160,0.8967978367114897,-62.0,45.85962677001953
1170,0.895951462132599,-32.0,49.261932373046875
1180,0.8951059335052408,-103.0,40.239959716796875
1190,0.8942612499838865,-16.0,45.71656036376953
1200,0.8934174107238526,-3.0,37.37126159667969
1210,0.8925744148812996,-20.0,42.30724334716797
1220,0.8917322616132318,-69.0,34.07300567626953
1230,0.8908909500774957,-7.0,39.94163513183594
1240,0.8900504794327798,-20.0,42.748626708984375
1250,0.8892108488386133,-14.0,45.65098571777344
1260,0.8883720574553657,-38.0,38.40196228027344
1270,0.8875341044442453,-120.0,32.60267639160156
1280,0.8866969889672991,-238.0,30.17813491821289
1290,0.8858607101874116,-13.0,38.05264663696289
1300,0.885025267268304,-52.0,35.007381439208984
1310,0.8841906593745332,-6.0,32.270591735839844
1320,0.8833568856714914,-62.0,31.799755096435547
1330,0.8825239453254046,-155.0,31.757993698120117
1340,0.8816918375033326,-18.0,29.908140182495117
1350,0.8808605613731673,-105.0,37.11246871948242
1360,0.8800301161036327,-222.0,32.43456268310547
1370,0.8792005008642834,-8.0,30.373929977416992
1380,0.8783717148255039,-36.0,27.978412628173828
1390,0.8775437571585084,-101.0,37.01350784301758
1400,0.8767166270353389,-209.0,27.940662384033203
1410,0.8758903236288655,-335.0,30.55818748474121
1420,0.8750648461127845,-500.0,33.99932861328125
1430,0.8742401936616183,-716.0,37.75941848754883
1440,0.8734163654507145,-46.0,32.63965606689453
1450,0.8725933606562447,-77.0,28.200458526611328
1460,0.8717711784552042,-29.0,28.473825454711914
1470,0.8709498180254107,-13.0,38.83322525024414
1480,0.8701292785455035,-8.0,32.229557037353516
1490,0.8693095591949432,-45.0,29.957244873046875
1500,0.8684906591540104,-132.0,28.43454933166504
1510,0.8676725776038049,-10.0,38.521846771240234
1520,0.8668553137262452,-41.0,27.454689025878906
1530,0.8660388667040673,-116.0,30.107669830322266
1540,0.8652232357208242,-228.0,24.319921493530273
1550,0.8644084199608846,-365.0,28.925233840942383
1560,0.8635944186094329,-534.0,25.92082405090332
1570,0.8627812308524675,-43.0,22.132408142089844
1580,0.8619688558768008,-49.0,30.6279296875
